Number;Age;Language;CulturalProfile;Gender;Province;Income;Favoured_Product;JoinYear;Overdue;CurrentMOP;ClusterGroup
3403;28;English;2;Female;EC;H;Product5;2011;1;Cash;2
3431;28;English;2;Male;EC;;Product5;2013;1;Debit;5
3455;28;English;2;Female;EC;I;Product6;2011;1;Cash;2
3461;28;English;2;Female;EC;F;Product3;2010;0;Debit;2
3463;28;English;2;Male;EC;A;Product3;2009;1;Cash;6
3478;28;English;2;Female;EC;F;Product3;2011;1;Cash;2
3487;28;English;2;Male;EC;H;Product3;2012;0;Debit;5
3506;28;English;3;Male;EC;H;Product3;2011;1;Cash;2
3519;28;English;3;Male;EC;;Product1;2010;0;Cash;4
3520;28;English;3;Female;EC;H;Product3;2012;1;Cash;2
3523;28;English;2;Female;EC;I;Product6;2010;0;Cash;2
3524;28;English;2;Male;EC;C;Product3;2012;1;Cash;6
3536;28;English;2;Female;EC;F;Product3;2011;1;Cash;2
3572;28;Afrikaans;3;Male;EC;I;Product6;2012;1;Cash;2
3643;28;English;2;Female;EC;I;Product6;2011;1;Cash;2
3697;28;English;2;Female;EC;D;Product3;2011;0;Debit;5
3700;28;English;3;Male;EC;G;Product3;2012;0;Cash;2
3715;28;English;2;Female;EC;;Product3;2013;0;Cash;6
3729;28;English;2;Male;EC;E;Product3;2009;0;Debit;5
3734;28;English;2;Female;EC;G;Product3;2012;1;Cash;2
3780;28;English;2;Male;EC;;Product5;2012;1;Cash;6
3789;28;English;2;Female;EC;I;Product3;2011;1;Cash;2
3794;28;English;2;Female;EC;H;Product3;2009;0;Cash;2
3807;28;English;2;Female;EC;E;Product6;2012;0;Cash;2
3808;28;English;2;Male;EC;;Product3;2011;1;Cash;6
3819;28;English;2;Female;EC;I;Product3;2011;1;Cash;2
3823;28;English;3;Female;EC;;Product3;2013;1;Cash;6
3847;28;English;2;Female;EC;G;Product1;2012;1;Cash;2
3859;28;English;3;Male;EC;E;Product1;2009;0;Cash;4
3906;28;English;2;Male;EC;G;Product3;2012;0;Debit;5
3913;28;English;3;Male;EC;D;Product1;2012;0;Cash;4
3927;28;English;3;Female;EC;;Product1;2013;0;Debit;4
3938;28;English;2;Male;EC;E;Product3;2011;0;Cash;2
